Time,temperature_2m,relativehumidity_2m,dewpoint_2m,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,Power
2017-01-02 00:00:00,29.7,55,15.4,4.96,8.46,124,129,8.8,0.3438
2017-01-02 21:00:00,32.9,98,32.3,3.41,5.86,328,333,5.7,0.4721
2017-01-03 18:00:00,12.0,53,-1.8,6.61,9.78,309,311,12.7,0.3396
2017-01-04 15:00:00,11.7,23,-18.8,4.94,6.52,306,306,10.1,0.2071
2017-01-05 12:00:00,7.4,39,-12.3,4.95,6.29,313,314,10.1,0.0746
2017-01-06 09:00:00,0.1,52,-13.2,3.44,4.54,262,262,6.8,0.0135
2017-01-07 06:00:00,7.7,64,-1.8,2.65,5.63,11,17,4.1,0.007
2017-01-08 03:00:00,4.2,60,-6.6,1.98,4.31,131,134,3.4,0.0005
2017-01-09 00:00:00,17.1,72,9.7,4.37,8.38,281,287,7.1,0.3011
2017-01-09 21:00:00,28.9,58,16.1,4.52,8.42,152,160,7.6,0.583
2017-01-10 18:00:00,18.8,61,7.4,4.62,8.16,275,277,10.0,0.6807
2017-01-11 15:00:00,14.4,53,0.2,6.81,9.21,3,2,13.8,0.6162
2017-01-12 12:00:00,16.6,37,-4.9,5.02,6.49,293,295,10.0,0.4666
2017-01-13 09:00:00,5.2,49,-10.0,2.63,3.32,81,83,5.5,0.1007
2017-01-14 06:00:00,9.6,56,-2.9,2.5,4.21,254,252,2.9,0.0
2017-01-15 03:00:00,19.7,48,2.9,1.87,2.2,164,177,2.0,0.0485
2017-01-16 00:00:00,28.5,87,25.1,3.18,5.32,134,139,5.3,0.1118
2017-01-16 21:00:00,30.8,97,30.1,3.62,6.0,354,1,6.3,0.0781
2017-01-17 18:00:00,26.4,87,23.1,2.59,5.73,242,254,4.1,0.0444
2017-01-18 15:00:00,50.5,49,32.1,4.92,7.2,204,205,9.5,0.3582
2017-01-19 12:00:00,39.9,83,35.1,4.11,5.78,154,157,8.1,0.3183
2017-01-20 09:00:00,35.0,99,34.7,2.46,4.48,153,151,4.1,0.0435
2017-01-21 06:00:00,37.7,99,37.5,1.24,2.39,256,237,1.9,0.0243
2017-01-22 03:00:00,28.9,88,26.0,2.42,5.94,308,315,5.1,0.1198
2017-01-23 00:00:00,30.5,84,26.2,4.19,6.86,310,314,7.9,0.2503
2017-01-23 21:00:00,31.1,87,27.8,1.36,3.37,73,78,2.3,0.0433
2017-01-24 18:00:00,31.1,93,29.2,6.65,10.44,69,70,11.4,0.893
2017-01-25 15:00:00,27.9,88,24.8,7.16,10.8,327,329,13.4,0.9098
2017-01-26 12:00:00,25.2,80,19.8,6.02,8.32,302,303,11.1,0.7287
2017-01-27 09:00:00,15.5,78,10.0,4.8,8.99,272,278,8.1,0.7683
2017-01-28 06:00:00,24.6,88,21.5,6.0,10.58,307,310,10.5,0.8626
2017-01-29 03:00:00,29.4,91,27.0,3.94,6.92,324,323,6.5,0.6697
2017-01-30 00:00:00,28.0,88,25.1,1.4,2.02,180,250,2.0,0.2094
2017-01-30 21:00:00,37.0,72,28.9,7.82,13.07,291,294,13.9,0.8942
2017-01-31 18:00:00,35.3,65,24.6,3.98,7.5,282,286,9.0,0.6761
2017-02-01 15:00:00,27.3,43,7.8,6.15,8.13,314,315,12.0,0.7289
2017-02-02 12:00:00,21.5,32,-3.5,5.71,7.38,303,303,11.4,0.6962
2017-02-03 09:00:00,14.9,48,-1.1,3.72,4.97,294,295,7.3,0.0898
2017-02-04 06:00:00,25.4,53,10.8,7.93,12.62,185,188,12.6,0.9572
2017-02-05 03:00:00,23.3,80,18.0,6.51,10.34,316,318,11.1,0.8523
2017-02-06 00:00:00,25.5,73,18.0,3.37,6.92,168,176,5.6,0.7076
2017-02-06 21:00:00,36.3,95,35.2,2.41,5.5,175,181,3.5,0.663
2017-02-07 18:00:00,21.6,56,8.5,5.85,9.43,327,328,11.3,0.9416
2017-02-08 15:00:00,19.2,32,-5.8,4.97,6.41,330,329,10.8,0.513
2017-02-09 12:00:00,20.5,30,-5.9,2.12,2.51,199,203,6.0,0.4757
2017-02-10 09:00:00,34.9,64,24.1,5.11,8.81,211,219,8.7,0.8441
2017-02-11 06:00:00,38.0,82,33.2,3.54,7.79,47,48,6.9,0.4594
2017-02-12 03:00:00,38.8,89,35.7,7.38,12.24,311,313,12.5,0.4697
2017-02-13 00:00:00,27.0,69,18.2,2.25,6.02,249,265,3.6,0.4468
2017-02-13 21:00:00,36.2,62,24.4,4.4,9.57,273,281,7.2,0.7706
2017-02-14 18:00:00,39.9,47,21.5,5.95,10.32,312,314,11.1,0.925
2017-02-15 15:00:00,42.4,34,16.1,2.82,3.52,253,255,6.3,0.0107
2017-02-16 12:00:00,51.2,47,31.6,3.01,3.92,249,251,6.6,0.0647
2017-02-17 09:00:00,47.7,66,36.9,5.39,9.4,220,225,8.7,0.6273
2017-02-18 06:00:00,36.7,81,31.5,3.49,8.25,333,337,5.4,0.8572
2017-02-19 03:00:00,40.7,86,37.0,2.87,7.35,151,158,4.8,0.9228
2017-02-20 00:00:00,54.9,86,50.7,5.32,10.08,168,173,9.5,0.9326
2017-02-20 21:00:00,47.2,83,42.2,4.72,9.04,291,295,8.6,0.4459
2017-02-21 18:00:00,58.3,46,37.7,5.6,10.68,199,202,11.0,0.8762
2017-02-22 15:00:00,65.2,41,41.2,7.62,10.47,287,287,13.6,0.3305
2017-02-23 12:00:00,38.8,69,29.5,7.08,9.62,43,43,12.6,0.728
2017-02-24 09:00:00,23.4,87,20.0,9.4,14.11,360,2,15.8,0.3901
2017-02-25 06:00:00,12.6,73,5.6,5.52,10.26,318,322,9.5,0.4098
2017-02-26 03:00:00,21.8,77,15.6,4.9,9.68,231,237,8.4,0.3382
2017-02-27 00:00:00,10.9,89,8.4,4.52,6.51,215,224,5.2,0.2987
2017-02-27 21:00:00,37.8,75,30.5,5.16,10.8,144,149,9.1,0.703
2017-02-28 18:00:00,38.8,94,37.1,2.41,5.71,5,11,7.0,0.7381
2017-06-01 00:00:00,52.0,85,47.6,2.67,2.21,283,288,3.1,0.0765
2017-06-01 22:00:00,66.2,60,52.1,4.14,8.83,160,164,6.9,0.0843
2017-06-02 20:00:00,74.3,59,59.1,4.9,9.66,192,196,8.8,0.5467
2017-06-03 18:00:00,82.4,50,62.1,2.9,5.75,226,230,6.5,0.2646
2017-06-04 16:00:00,85.3,27,47.8,3.67,4.7,334,333,7.1,0.202
2017-06-05 14:00:00,80.5,42,55.6,4.88,6.15,46,46,9.9,0.1729
2017-06-06 12:00:00,77.6,39,50.7,3.11,3.82,96,96,7.6,0.0254
2017-06-07 10:00:00,76.2,40,49.9,4.61,5.94,193,193,9.5,0.1873
2017-06-08 08:00:00,72.5,44,49.5,5.34,7.5,232,233,9.8,0.5655
2017-06-09 06:00:00,67.8,64,55.3,2.73,4.74,204,224,5.1,0.1811
2017-06-10 04:00:00,72.1,61,58.1,7.69,12.62,196,198,13.4,0.7867
2017-06-11 02:00:00,78.5,68,67.0,5.92,10.01,185,189,10.2,0.7336
2017-06-12 00:00:00,81.2,60,66.2,2.8,5.73,235,226,8.0,0.3409
2017-06-12 22:00:00,71.3,94,69.4,3.05,5.82,67,78,5.1,0.5641
2017-06-13 20:00:00,84.4,60,68.9,7.18,11.6,171,173,14.9,0.5911
2017-06-14 18:00:00,80.6,48,59.2,3.82,6.42,264,266,8.4,0.258
2017-06-15 16:00:00,84.8,42,59.5,2.62,3.47,317,311,7.9,0.1107
2017-06-16 14:00:00,86.1,49,64.9,3.94,5.05,210,207,9.0,0.0291
2017-06-17 12:00:00,79.7,48,58.2,2.02,2.3,213,214,4.8,0.0121
2017-06-18 10:00:00,68.2,58,53.0,6.6,8.77,305,305,12.8,0.4814
2017-06-19 08:00:00,66.7,66,54.9,3.35,4.38,297,297,6.7,0.1341
2017-06-20 06:00:00,65.2,61,51.4,4.9,9.34,219,222,6.8,0.7829
2017-06-21 04:00:00,62.1,67,51.0,4.12,7.67,96,102,7.8,0.7506
2017-06-22 02:00:00,77.4,54,59.6,6.77,11.6,211,212,12.8,0.6239
2017-06-23 00:00:00,64.4,72,55.1,5.38,8.83,350,355,9.1,0.104
2017-06-23 22:00:00,60.2,56,44.6,3.26,6.92,317,323,8.4,0.6332
2017-06-24 20:00:00,60.9,49,41.8,3.68,7.24,338,340,7.7,0.6897
2017-06-25 18:00:00,67.0,49,47.0,3.35,5.32,333,334,10.7,0.2562
2017-06-26 16:00:00,68.0,41,43.7,4.3,5.41,12,12,9.0,0.0306
2017-06-27 14:00:00,74.9,39,48.2,6.61,8.73,170,170,12.3,0.4629
2017-06-28 12:00:00,77.6,70,67.1,7.8,10.86,247,248,16.1,0.4176
2017-06-29 10:00:00,75.8,77,68.2,2.39,3.02,237,236,5.4,0.1928
2017-06-30 08:00:00,66.9,79,60.2,3.11,4.05,315,320,6.1,0.1297
2017-07-01 06:00:00,60.3,88,56.7,2.19,3.85,313,332,5.2,0.1963
2017-07-02 04:00:00,66.4,82,60.6,6.0,10.62,180,183,10.0,0.6457
2017-07-03 02:00:00,65.9,93,64.0,3.08,6.31,54,61,5.1,0.2054
2017-07-04 00:00:00,70.1,91,67.2,2.51,5.53,119,131,4.2,0.0096
2017-07-04 22:00:00,73.7,88,70.0,2.06,4.4,166,181,3.2,0.0795
2017-07-05 20:00:00,77.4,75,68.6,2.1,4.64,180,187,3.0,0.1683
2017-07-06 18:00:00,85.3,68,73.5,3.68,5.47,227,230,9.6,0.2319
2017-07-07 16:00:00,82.0,45,58.4,4.61,6.08,333,333,8.9,0.2422
2017-07-08 14:00:00,82.2,50,61.5,1.13,1.35,225,228,4.4,0.0326
2017-07-09 12:00:00,86.5,52,66.8,4.51,5.71,176,177,9.2,0.1528
2017-07-10 10:00:00,77.3,76,69.3,5.43,7.14,6,6,11.8,0.1661
2017-07-11 08:00:00,74.5,79,67.4,2.06,2.6,113,113,9.3,0.0438
2017-07-12 06:00:00,81.3,65,68.5,6.07,10.92,253,254,8.2,0.3308
2017-07-13 04:00:00,66.6,74,58.0,3.2,6.43,2,5,6.2,0.1173
2017-07-14 02:00:00,61.6,85,56.9,2.05,4.61,47,49,3.9,0.1443
2017-07-15 00:00:00,68.9,86,64.6,3.22,6.41,144,157,5.3,0.394
