Time,temperature_2m,relativehumidity_2m,dewpoint_2m,windspeed_10m,windspeed_100m,winddirection_10m,winddirection_100m,windgusts_10m,Power
2017-01-02 00:00:00,28.5,85,24.5,1.44,1.26,146,162,1.4,0.1635
2017-01-02 21:00:00,35.5,95,34.1,2.69,5.35,105,107,4.9,0.2484
2017-01-03 18:00:00,36.4,99,36.2,2.13,4.53,319,329,6.2,0.2909
2017-01-04 15:00:00,15.7,45,-2.0,8.8,13.7,269,270,18.2,0.9031
2017-01-05 12:00:00,13.4,50,-1.6,5.87,8.9,261,262,12.4,0.6569
2017-01-06 09:00:00,5.9,67,-2.6,3.58,6.39,247,253,7.3,0.3246
2017-01-07 06:00:00,3.3,81,-1.3,3.04,6.99,243,253,5.2,0.4468
2017-01-08 03:00:00,8.4,70,0.7,5.79,9.95,288,292,11.4,0.8866
2017-01-09 00:00:00,13.0,51,-1.9,3.91,7.91,193,198,7.9,0.5934
2017-01-09 21:00:00,23.8,58,11.1,4.13,7.5,173,179,7.9,0.4746
2017-01-10 18:00:00,43.9,88,40.5,10.62,17.59,194,195,28.5,0.9228
2017-01-11 15:00:00,41.5,64,30.2,6.31,11.26,195,198,12.9,0.844
2017-01-12 12:00:00,28.5,81,23.6,2.94,4.3,325,324,10.2,0.0832
2017-01-13 09:00:00,17.6,64,7.5,3.34,5.62,321,321,7.2,0.2635
2017-01-14 06:00:00,16.6,78,10.9,2.2,3.72,177,186,3.8,0.0392
2017-01-15 03:00:00,18.9,89,16.1,2.61,5.02,302,313,4.8,0.1461
2017-01-16 00:00:00,24.3,75,17.4,3.36,7.22,233,239,6.0,0.3495
2017-01-16 21:00:00,30.5,93,28.7,2.83,5.72,135,144,5.2,0.4019
2017-01-17 18:00:00,35.5,99,35.2,3.42,6.79,255,261,5.1,0.0995
2017-01-18 15:00:00,40.0,84,35.4,3.76,5.69,245,246,8.5,0.4744
2017-01-19 12:00:00,37.5,79,31.5,1.53,1.97,212,210,5.7,0.0405
2017-01-20 09:00:00,33.5,92,31.4,3.1,6.02,111,111,7.0,0.1515
2017-01-21 06:00:00,35.6,99,35.3,2.72,5.61,126,140,5.5,0.154
2017-01-22 03:00:00,36.6,100,36.6,2.34,3.29,160,200,3.6,0.0495
2017-01-23 00:00:00,36.9,100,36.8,2.52,5.83,97,112,5.3,0.0786
2017-01-23 21:00:00,35.8,95,34.6,2.91,6.01,86,93,5.3,0.1623
2017-01-24 18:00:00,33.9,98,33.3,2.24,4.38,297,305,5.1,0.1406
2017-01-25 15:00:00,36.2,95,34.9,2.6,4.08,88,101,8.7,0.1428
2017-01-26 12:00:00,36.8,76,29.9,6.33,9.71,301,302,13.1,0.7592
2017-01-27 09:00:00,31.2,70,22.7,5.8,8.91,268,268,11.0,0.8664
2017-01-28 06:00:00,27.4,75,20.4,3.8,6.82,243,248,8.9,0.5712
